,concept,it_str,en_str,id
70,https://w3id.org/diga/terms/c_d8b35636,mignolo,little finger,2397804815
71,https://w3id.org/diga/terms/c_90b07019,animali,animals,406891803
72,https://w3id.org/diga/terms/c_fc7b3ba1,barca fluviale,river boat,2058223302
73,https://w3id.org/diga/terms/c_f47e2c00,capitello figurato gandharico-corinzio,figured gandharan-corinthian capital,1752812207
74,https://w3id.org/diga/terms/c_b702b7bc,capitello gandharico-corinzio non figurato,not figured gandharan-corinthian capital,1751139500
75,https://w3id.org/diga/terms/c_d25e8595,capitello non figurato gandharico-corinzio,not-figured gandharan-corinthian capital,3329055129
76,https://w3id.org/diga/terms/c_ea55243c,base a scozia con fila di fuseruole e perline,base of scotia type with bead-and-reel row,1662467446
77,https://w3id.org/diga/terms/c_68962d06,mezzi di trasporto,means of transport,2251868554
78,https://w3id.org/diga/terms/c_6c3d7bae,oggetti da cerimonia,ceremonial objects,3066298879
79,https://w3id.org/diga/terms/c_8fd9afde,brahmano giovane,young brahmin,2234494597
80,https://w3id.org/diga/terms/c_6081519c,carro con cassa decorata,cart with decorated body,171881259
81,https://w3id.org/diga/terms/c_cd3bb725,capitello a modanature orizzontali a listelli sovrapposti progressivamente aggettanti,capital composed of horizontal mouldings with superimposed projecting fillets,3901078763
82,https://w3id.org/diga/terms/c_9971ea14,"gesto di conversazione/domanda con pollice, indice e medio della mano dx. tesi, uniti","gesture of conversation/question with right hand thumb, index and middle finger extended and joined",547371541
83,https://w3id.org/diga/terms/c_936bb2ec,collana lunga traversa portata sulla spalla dx. con pietre ,long cross-necklace resting on the right shoulder with stones,2801773867
84,https://w3id.org/diga/terms/c_e4f4d117,tipologie di capigliatura,hair types,1682195343
