ICONOGRAPHIC INDEX: FIGURES,PERSONS,,,,,,,,
Nāga(s),,,,,,,Nāga(s),,
"Nagaradevatā, City Goddess",,,,,"Nagaradevatā, City Goddess",,,,
Naigameśa (?),,,,,Naigameśa (?),,,,
Naradatta,,Naradatta,,,,,,,
Nun,,,,,,Nun,,,
Padmapāṇi,,,,Padmapāṇi,,,,,
Pañcaśikha,,Pañcaśikha,,,,,,,
Pāñcika,,,,,Pāñcika,,,,
Pharro,,,,,Pharro,,,,
Piṅgala,,Piṅgala,,,,,,,
Poseidon,,,,,Poseidon,,,,
Prakṛti,,Prakṛti,,,,,,,
pregnant woman,,,,,,pregnant woman,,,
Priyaṃkara,,Priyaṃkara,,,,,,,
Putto,,,,,,,Putto,,
Rāhula,,Rāhula,,,,,,,
Rāma,,,,,Rāma,,,,
Rāvaṇa,,,,,Rāvaṇa,,,,
Renunciant(s),,,,,,Renunciant(s),,,
Rider(s),,,,,,Rider(s),,,
River god,,,,,,,River god,,
Śākyamuni,,,Śākyamuni,,,,,,
Śalabhañjikā,,,,,,,Śalabhañjikā,,
Śaṅkhakuñjara (dog as character),,,,,,,,,Śaṅkhakuñjara (dog as character)
Sailor(s),,,,,,Sailor(s),,,
"Sea deity, water deity",,,,,,,"Sea deity, water deity",,
Śibi,,Śibi,,,,,,,
"Silenus, aged Silenus type",,,,,"Silenus, aged Silenus type",,,,
Siddhārtha,,,Siddhārtha,,,,,,
Sītā,,,,,Sītā,,,,
Śiva,,,,,Śiva,,,,
"Skanda, Kārttikeya, Kumara",,,,,"Skanda, Kārttikeya, Kumara",,,,
Six-armed god,,,,,,,Six-armed god,,
Soldier(s),,,,,,Soldier(s),,,
Spearman(men),,,,,,Spearman(men),,,
Śrī,,,,,Śrī,,,,
Śrīgupta,,Śrīgupta,,,,,,,
Subhadrā,,Subhadrā,,,,,,,
Sudāya,,Sudāya,,,,,,,
Śuddhodana,,Śuddhodana,,,,,,,
Sujātā,,Sujātā,,,,,,,
"Śuka, Śukamāṇava",,"Śuka, Śukamāṇava",,,,,,,
"Sumedha, Megha",,"Sumedha, Megha",,,,,,,
"Sundarananda, Nanda",,"Sundarananda, Nanda",,,,,,,
Sundarī,,Sundarī,,,,,,,
Suvarṇaprabhāsā,,Suvarṇaprabhāsā,,,,,,,
Śvetaketu,,Śvetaketu,,,,,,,
Trapuṣa,,Trapuṣa,,,,,,,
"Trāyastriṃśa, Thirty-Three gods",,,,,"Trāyastriṃśa, Thirty-Three gods",,,,
Triton,,,,,,,,Triton,
Tritoness,,,,,,,,Tritoness,
Trojan horse,,,,,,Trojan horse,,,
Tutelary couple,,,,,,Tutelary couple,,,
Tyche,,,,,Tyche,,,,
Utpalavarṇā,,Utpalavarṇā,,,,,,,
Vaiśravaṇa,,Vaiśravaṇa,,,,,,,
Vajrapāṇi,,,,Vajrapāṇi,,,,,
Viduṣaka,,,,,,Viduṣaka,,,
Vijaya,,Vijaya,,,,,,,
Viṣṇu,,,,,Viṣṇu,,,,
Viśvakarmā,,,,,Viśvakarmā,,,,
Viśvamitra,,Viśvamitra,,,,,,,
Warrior,,,,,,Warrior,,,
Warrior deity,,,,,,,Warrior deity,,
"Watermen, water deities",,,,,,,"Watermen, water deities",,
Wind god,,,,,,,Wind god,,
Winged female figure,,,,,,,,Winged female figure,
Winged male figure,,,,,,,,Winged male figure,
Wreath-bearer(s),,,,,,Wreath-bearer(s),,,
Yakṣa,,,,,,,Yakṣa,,
Yakṣī,,,,,,,Yakṣī,,
Yaśodharā,,Yaśodharā,,,,,,,
"Yavanī, female guardian",,,,,,,"Yavanī, female guardian",,
"Young ascetic, Brahmacārin",,,,,,"Young ascetic, Brahmacārin",,,
Zoomorphic goddess,,,,,,,,Zoomorphic goddess,
